,year,total-prec(mm),stnid,total-snow(mm),total-rain(mm),Prov,station's name,lat (deg),long (deg),elev (m),stns joined,mean-temp(celsius)
22,1948,731.0,1012573,13.0,718.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.1
23,1949,431.2,1012573,117.5,313.7,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,0.0
24,1950,-9999.9,1012573,-9999.9,-9999.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,-0.9
25,1951,679.2,1012573,60.1,619.1,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.1
26,1952,585.6,1012573,142.0,443.6,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,0.8
27,1953,905.1,1012573,41.5,863.6,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.1
28,1954,784.3,1012573,121.8,662.5,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.7
29,1955,363.1,1012573,39.6,323.5,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.0
30,1956,498.8,1012573,60.3,438.5,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,1.2
31,1957,532.2,1012573,118.3,413.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,1.2
32,1958,-9999.9,1012573,-9999.9,-9999.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,-9999.9
33,1959,489.1,1012573,48.6,440.6,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.7
34,1960,512.3,1012573,1.4,510.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.1
35,1961,810.1,1012573,2.8,807.3,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.3
36,1962,372.5,1012573,37.6,334.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.2
37,1963,462.6,1012573,6.3,456.4,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.0
38,1964,661.7,1012573,0.1,661.6,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.9
39,1965,527.7,1012573,154.6,373.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.2
40,1966,551.1,1012573,176.9,374.1,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.3
41,1967,694.1,1012573,1.6,692.5,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.7
42,1968,738.9,1012573,59.1,679.8,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.6
43,1969,605.1,1012573,259.7,345.4,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,0.1
44,1970,541.9,1012573,2.2,539.7,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.3
45,1971,576.6,1012573,108.0,468.6,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.9
46,1972,597.8,1012573,105.4,492.4,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,1.3
47,1973,656.6,1012573,45.3,611.3,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.2
48,1974,751.6,1012573,32.0,719.6,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.4
49,1975,549.3,1012573,70.1,479.2,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.7
50,1976,738.8,1012573,25.8,713.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.2
51,1977,306.9,1012573,10.2,296.7,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.4
52,1978,370.2,1012573,46.5,323.7,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.2
53,1979,388.3,1012573,6.6,381.7,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,1.7
54,1980,752.1,1012573,46.0,706.2,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.3
55,1981,636.5,1012573,31.2,605.4,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.9
56,1982,772.8,1012573,61.4,711.4,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.8
57,1983,794.8,1012573,0.0,794.8,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.4
58,1984,469.9,1012573,45.8,424.1,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.8
59,1985,306.5,1012573,76.4,230.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,1.8
60,1986,-9999.9,1012573,-9999.9,-9999.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.0
61,1987,-9999.9,1012573,-9999.9,-9999.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.2
62,1988,441.1,1012573,23.6,417.6,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.6
63,1989,444.0,1012573,82.3,361.7,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.1
64,1990,614.2,1012573,59.1,555.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.8
65,1991,663.6,1012573,101.3,562.3,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.3
66,1992,790.0,1012573,3.2,786.8,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,5.2
67,1993,281.2,1012573,68.1,213.2,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,1.5
68,1994,602.5,1012573,22.9,579.5,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.4
69,1995,764.7,1012573,29.1,735.5,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.3
70,1996,718.3,1012573,64.4,653.8,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.6
71,1997,716.4,1012573,106.8,609.6,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.0
72,1998,680.6,1012573,28.0,652.7,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.3
73,1999,1159.5,1012573,57.4,1102.1,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.8
74,2000,508.5,1012573,35.5,473.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.7
75,2001,369.1,1012573,48.2,320.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.4
76,2002,676.9,1012573,51.4,625.5,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.7
77,2003,621.3,1012573,6.3,615.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,5.0
78,2004,475.3,1012573,53.1,422.2,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.0
79,2005,566.2,1012573,78.4,487.8,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.4
80,2006,845.5,1012573,8.3,837.3,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.3
81,2007,725.2,1012573,24.2,700.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.8
82,2008,617.5,1012573,74.4,543.1,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.1
83,2009,310.9,1012573,133.1,177.8,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.0
84,2010,571.2,1012573,10.9,560.3,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.5
85,2011,700.0,1012573,62.9,637.1,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.9
86,2012,526.5,1012573,19.0,507.4,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.4
87,2013,501.0,1012573,31.8,469.2,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.4
88,2014,435.7,1012573,61.0,374.7,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.7
89,2015,565.3,1012573,0.1,565.2,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,6.0
90,2016,871.3,1012573,14.6,856.7,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.6
91,1914,-9999.9,1016940,-10.0,-10.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,-9999.9
92,1915,151.6,1016940,1.2,150.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.1
93,1916,427.2,1016940,95.1,332.1,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,1.5
94,1917,350.5,1016940,86.0,264.5,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.1
95,1918,485.3,1016940,20.0,465.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.0
96,1919,414.8,1016940,8.0,406.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.8
97,1920,224.1,1016940,11.7,212.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.1
98,1921,326.6,1016940,10.5,316.2,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.0
99,1922,202.8,1016940,19.8,183.1,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,1.9
100,1923,506.8,1016940,97.0,409.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.3
101,1924,435.1,1016940,0.8,434.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.6
102,1925,382.8,1016940,2.2,380.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.0
103,1926,344.6,1016940,0.0,344.6,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.8
104,1927,353.6,1016940,24.9,328.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.0
105,1928,241.1,1016940,32.5,208.6,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.6
106,1929,197.9,1016940,41.9,156.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.0
107,1930,346.3,1016940,22.6,323.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.8
108,1931,313.4,1016940,0.0,313.4,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.3
109,1932,378.3,1016940,15.3,363.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.4
110,1933,370.0,1016940,6.3,363.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.2
111,1934,592.7,1016940,21.0,571.6,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.3
112,1935,597.2,1016940,46.2,551.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.2
113,1936,357.5,1016940,29.9,327.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.3
114,1937,389.7,1016940,62.0,327.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.1
115,1938,396.5,1016940,55.1,341.4,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.4
116,1939,470.3,1016940,8.1,462.2,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.3
117,1940,452.1,1016940,3.3,448.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,6.1
118,1941,315.8,1016940,2.2,313.6,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.9
119,1942,239.0,1016940,11.2,227.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.5
120,1943,315.7,1016940,52.8,262.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.4
121,1944,281.3,1016940,0.0,281.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.4
122,1945,264.1,1016940,2.2,261.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.6
123,1946,384.5,1016940,9.4,375.1,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.4
124,1947,417.4,1016940,51.6,365.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.5
125,1948,500.8,1016940,8.9,491.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.9
126,1949,349.3,1016940,58.2,291.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,1.4
127,1950,453.3,1016940,81.5,371.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,0.9
128,1951,540.3,1016940,14.6,525.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.4
129,1952,319.7,1016940,65.0,254.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.0
130,1953,595.3,1016940,5.6,589.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.0
131,1954,572.3,1016940,43.9,528.4,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.8
132,1955,269.2,1016940,5.9,263.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.7
133,1956,332.2,1016940,48.2,283.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.3
134,1957,392.8,1016940,52.9,339.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.3
135,1958,453.2,1016940,0.0,453.2,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,6.1
136,1959,366.7,1016940,38.3,328.4,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.5
137,1960,403.7,1016940,1.1,402.6,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.1
138,1961,585.4,1016940,0.0,585.4,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.1
139,1962,281.0,1016940,14.5,266.5,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.1
140,1963,345.9,1016940,3.2,342.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.9
141,1964,504.1,1016940,0.3,503.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.8
142,1965,443.4,1016940,50.7,392.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.3
143,1966,414.3,1016940,69.5,344.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.2
144,1967,534.9,1016940,0.0,534.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.5
145,1968,484.7,1016940,10.6,474.1,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.0
146,1969,384.8,1016940,119.9,264.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,1.5
147,1970,358.6,1016940,0.2,358.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.4
148,1971,455.4,1016940,50.1,405.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.6
149,1972,504.8,1016940,53.5,451.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.3
150,1973,459.4,1016940,22.0,437.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.5
151,1974,522.8,1016940,17.7,505.1,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.4
152,1975,459.3,1016940,29.4,429.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.9
153,1976,553.8,1016940,8.1,545.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.4
154,1977,209.4,1016940,3.4,206.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.4
155,1978,342.5,1016940,22.5,320.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.7
156,1979,259.5,1016940,6.4,253.1,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.7
157,1980,513.7,1016940,30.7,483.1,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.3
158,1981,425.8,1016940,15.9,409.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.8
159,1982,536.1,1016940,44.4,491.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.7
160,1983,462.0,1016940,0.0,462.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.7
161,1984,301.1,1016940,8.8,292.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.5
162,1985,246.3,1016940,53.8,192.5,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,2.9
163,1986,-9999.9,1016940,-9999.9,-9999.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.6
164,1987,276.9,1016940,7.0,270.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.7
165,1988,308.7,1016940,1.1,307.6,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.4
166,1989,314.8,1016940,35.4,279.4,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.7
167,1990,405.2,1016940,16.4,388.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.8
168,1991,465.9,1016940,54.6,411.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.1
169,1992,451.6,1016940,0.1,451.5,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,6.2
170,1993,192.2,1016940,33.0,159.1,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.1
171,1994,309.5,1016940,13.0,296.4,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.2
172,1995,468.5,1016940,4.5,464.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.3
173,1996,461.9,1016940,29.6,432.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.6
174,1997,469.4,1016940,43.9,425.5,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.5
175,1998,372.9,1016940,11.8,361.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.6
176,1999,776.6,1016940,23.8,752.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.2
177,2000,374.0,1016940,4.3,369.6,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.2
178,2001,258.4,1016940,17.8,240.6,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.8
179,2002,480.5,1016940,9.4,471.1,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.8
180,2003,337.3,1016940,0.1,337.2,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,6.1
181,2004,269.7,1016940,15.4,254.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.4
182,2005,402.3,1016940,31.0,371.4,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.0
183,2006,387.6,1016940,2.1,385.5,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.5
184,2007,457.9,1016940,7.4,450.5,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.6
185,2008,405.5,1016940,0.3,405.2,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.3
186,2009,235.0,1016940,38.7,196.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.4
187,2010,343.9,1016940,0.4,343.5,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,5.6
188,2011,430.1,1016940,2.4,427.8,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.1
189,2012,304.4,1016940,13.1,291.3,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.5
190,2013,386.9,1016940,0.1,386.7,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,4.4
191,2014,313.8,1016940,15.2,298.6,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,3.7
192,2015,384.0,1016940,0.0,384.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,6.8
193,2016,493.1,1016940,0.1,493.0,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,6.0
194,2017,-9999.9,1016940,-9999.9,-9999.9,BC,SAANICHTON,48.62166666666667,-123.41888888888887,61,No,-9999.9
195,1913,444.3,1017230,128.1,316.2,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,-9999.9
196,1914,484.9,1017230,21.1,463.8,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,3.1
197,1915,167.4,1017230,6.7,160.7,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,2.2
198,1916,731.5,1017230,305.2,426.3,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,-0.3
199,1917,356.5,1017230,175.9,180.7,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,0.2
200,1918,809.8,1017230,71.4,738.4,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,2.6
201,1919,699.7,1017230,31.7,668.1,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,3.5
202,1920,340.5,1017230,19.6,320.9,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,2.2
203,1921,684.5,1017230,41.5,643.0,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,3.0
204,1922,322.1,1017230,25.2,296.9,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,0.5
205,1923,624.7,1017230,175.9,448.8,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,0.7
206,1924,557.9,1017230,4.4,553.5,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,3.5
207,1925,393.2,1017230,29.0,364.2,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,2.8
208,1926,362.9,1017230,0.0,362.9,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,4.8
209,1927,390.8,1017230,68.7,322.1,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,2.5
210,1928,246.7,1017230,61.8,184.9,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,1.9
211,1929,253.3,1017230,57.4,195.9,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,0.8
212,1930,436.1,1017230,47.2,388.9,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,1.3
213,1931,552.9,1017230,0.0,552.9,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,4.0
214,1932,501.1,1017230,66.3,434.8,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,2.4
215,1933,520.1,1017230,60.0,460.1,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,1.4
216,1934,743.9,1017230,25.6,718.2,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,4.7
217,1935,811.9,1017230,159.0,652.9,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,3.1
218,1936,556.9,1017230,73.8,483.1,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,2.5
219,1937,650.6,1017230,154.8,495.8,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,0.4
220,1938,599.7,1017230,132.6,467.1,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,2.6
221,1939,672.1,1017230,21.2,650.9,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,2.4
222,1940,758.7,1017230,11.1,747.6,BC,SHAWNIGAN LAKE,48.646947222222224,-123.62640833333332,138,No,4.4
